
iteration,num_threads,num_nodes,max_payload_size,records_number,time(ms)
1,1,2,2048,2097152,23670.5
1,2,2,2048,2097152,22749.6
1,4,2,2048,2097152,21018.8
1,8,2,2048,2097152,20963.7
1,16,2,2048,2097152,21424.9
1,32,2,2048,2097152,20860.6
1,1,4,5120,2097152,97465.8
1,2,4,5120,2097152,101709
1,4,4,5120,2097152,267185
1,8,4,5120,2097152,203272
1,16,4,5120,2097152,173269
1,32,4,5120,2097152,194324
1,1,2,1048576,4096,39364.3
1,2,2,1048576,4096,38267.8
1,4,2,1048576,4096,38250.1
1,8,2,1048576,4096,31548
1,16,2,1048576,4096,35141.4
1,32,2,1048576,4096,20533.8
1,1,4,1048576,10240,156266
1,2,4,1048576,10240,166520
1,4,4,1048576,10240,113173
1,8,4,1048576,10240,133398
1,16,4,1048576,10240,196765
1,32,4,1048576,10240,183743
2,1,2,2048,2097152,46170.2
2,2,2,2048,2097152,40539.8
2,4,2,2048,2097152,47084.4
2,8,2,2048,2097152,29337.3
2,16,2,2048,2097152,35086.9
2,32,2,2048,2097152,35192.1
2,1,4,5120,2097152,175004
2,2,4,5120,2097152,223769
2,4,4,5120,2097152,177094
2,8,4,5120,2097152,183946
2,16,4,5120,2097152,155077
2,32,4,5120,2097152,206121
2,1,2,1048576,4096,37263.5
2,2,2,1048576,4096,39616.3
2,4,2,1048576,4096,37070.1
2,8,2,1048576,4096,44518.4
2,16,2,1048576,4096,35249.7
2,32,2,1048576,4096,36205.9
2,1,4,1048576,10240,161758
2,2,4,1048576,10240,135366
2,4,4,1048576,10240,122679
2,8,4,1048576,10240,84741
2,16,4,1048576,10240,85570
2,32,4,1048576,10240,91118.6
3,1,2,2048,2097152,21030.8
3,2,2,2048,2097152,21302.3
3,4,2,2048,2097152,21234.7
3,8,2,2048,2097152,21172.4
3,16,2,2048,2097152,22046.6
3,32,2,2048,2097152,21227.2
3,1,4,5120,2097152,118394
3,2,4,5120,2097152,100546
3,4,4,5120,2097152,98820.2
3,8,4,5120,2097152,137815
3,16,4,5120,2097152,115905
3,32,4,5120,2097152,126888
3,1,2,1048576,4096,19948.4
3,2,2,1048576,4096,20369.7
3,4,2,1048576,4096,20318.5
3,8,2,1048576,4096,20101
3,16,2,1048576,4096,20338.1
3,32,2,1048576,4096,20438.2
3,1,4,1048576,10240,95792.8
3,2,4,1048576,10240,82149.4
3,4,4,1048576,10240,90593.2
3,8,4,1048576,10240,80787.2
3,16,4,1048576,10240,96612.9
3,32,4,1048576,10240,89594.8
4,1,2,2048,2097152,21110.1
4,2,2,2048,2097152,20329.1
4,4,2,2048,2097152,21193.4
4,8,2,2048,2097152,21119.3
4,16,2,2048,2097152,20931.8
4,32,2,2048,2097152,21222.2
4,1,4,5120,2097152,125805
4,2,4,5120,2097152,99573.1
4,4,4,5120,2097152,108554
4,8,4,5120,2097152,137560
4,16,4,5120,2097152,87651.8
4,32,4,5120,2097152,88062.8
4,1,2,1048576,4096,19956.2
4,2,2,1048576,4096,20237.5
4,4,2,1048576,4096,20011.3
4,8,2,1048576,4096,20159.7
4,16,2,1048576,4096,20263.9
4,32,2,1048576,4096,20129
4,1,4,1048576,10240,89376
4,2,4,1048576,10240,123442
4,4,4,1048576,10240,94237.8
4,8,4,1048576,10240,86217.8
4,16,4,1048576,10240,89950.3
4,32,4,1048576,10240,64091.8
5,1,2,2048,2097152,20945.3
5,2,2,2048,2097152,21244.5
5,4,2,2048,2097152,21040.3
5,8,2,2048,2097152,21203.2
5,16,2,2048,2097152,21182.9
5,32,2,2048,2097152,21389
5,1,4,5120,2097152,133631
5,2,4,5120,2097152,131226
5,4,4,5120,2097152,105754
5,8,4,5120,2097152,136659
5,16,4,5120,2097152,129898
5,32,4,5120,2097152,117086
5,1,2,1048576,4096,20087.2
5,2,2,1048576,4096,20512.3
5,4,2,1048576,4096,20065
5,8,2,1048576,4096,20036.5
5,16,2,1048576,4096,20155.5
5,32,2,1048576,4096,20157.5
5,1,4,1048576,10240,102212
5,2,4,1048576,10240,93180.5
5,4,4,1048576,10240,73931.5
5,8,4,1048576,10240,96253.2
5,16,4,1048576,10240,95678.9
5,32,4,1048576,10240,89451.8
