
iteration,num_threads,num_nodes,max_payload_size,records_number,time(ms)
1,1,2,1024,2097152,19238.3
1,2,2,1024,2097152,29720.2
1,4,2,1024,2097152,16111.7
1,8,2,1024,2097152,14162.1
1,16,2,1024,2097152,16693.8
1,32,2,1024,2097152,13182.9
1,1,2,1048576,2048,18113.1
1,2,2,1048576,2048,15997.1
1,4,2,1048576,2048,16844.5
1,8,2,1048576,2048,18874.7
1,16,2,1048576,2048,18324.1
1,32,2,1048576,2048,15937.5
2,1,2,1024,2097152,12151
2,2,2,1024,2097152,12309.5
2,4,2,1024,2097152,12312.8
2,8,2,1024,2097152,20071.3
2,16,2,1024,2097152,11854.5
2,32,2,1024,2097152,19904.5
2,1,2,1048576,2048,17376.3
2,2,2,1048576,2048,18635.6
2,4,2,1048576,2048,15959.6
2,8,2,1048576,2048,15182.5
2,16,2,1048576,2048,15950
2,32,2,1048576,2048,10460.6
3,1,2,1024,2097152,11687.8
3,2,2,1024,2097152,14770.4
3,4,2,1024,2097152,21868.4
3,8,2,1024,2097152,21164.2
3,16,2,1024,2097152,21432.7
3,32,2,1024,2097152,22043.1
3,1,2,1048576,2048,21195.5
3,2,2,1048576,2048,19724
3,4,2,1048576,2048,20689.9
3,8,2,1048576,2048,20168.6
3,16,2,1048576,2048,20222.4
3,32,2,1048576,2048,19152.9
4,1,2,1024,2097152,21237.5
4,2,2,1024,2097152,21523.7
4,4,2,1024,2097152,22224
4,8,2,1024,2097152,22554.9
4,16,2,1024,2097152,22927.1
4,32,2,1024,2097152,21180.8
4,1,2,1048576,2048,21857.5
4,2,2,1048576,2048,22017.7
4,4,2,1048576,2048,21489.2
4,8,2,1048576,2048,15843.6
4,16,2,1048576,2048,16547.2
4,32,2,1048576,2048,17921
5,1,2,1024,2097152,15580
5,2,2,1024,2097152,18991.4
5,4,2,1024,2097152,21983.7
5,8,2,1024,2097152,17538.3
5,16,2,1024,2097152,19478.2
5,32,2,1024,2097152,18659.6
5,1,2,1048576,2048,12668.1
5,2,2,1048576,2048,20414.3
5,4,2,1048576,2048,21500.5
5,8,2,1048576,2048,19344.5
5,16,2,1048576,2048,19018.3
5,32,2,1048576,2048,11134.7
