
iteration,num_threads,num_nodes,max_payload_size,records_number,time(ms)
1,1,2,1048576,2048,18113.1
1,2,2,1048576,2048,15997.1
1,4,2,1048576,2048,16844.5
1,8,2,1048576,2048,18874.7
1,16,2,1048576,2048,18324.1
1,32,2,1048576,2048,15937.5
2,1,2,1048576,2048,17376.3
2,2,2,1048576,2048,18635.6
2,4,2,1048576,2048,15959.6
2,8,2,1048576,2048,15182.5
2,16,2,1048576,2048,15950
2,32,2,1048576,2048,10460.6
3,1,2,1048576,2048,21195.5
3,2,2,1048576,2048,19724
3,4,2,1048576,2048,20689.9
3,8,2,1048576,2048,20168.6
3,16,2,1048576,2048,20222.4
3,32,2,1048576,2048,19152.9
4,1,2,1048576,2048,21857.5
4,2,2,1048576,2048,22017.7
4,4,2,1048576,2048,21489.2
4,8,2,1048576,2048,15843.6
4,16,2,1048576,2048,16547.2
4,32,2,1048576,2048,17921
5,1,2,1048576,2048,12668.1
5,2,2,1048576,2048,20414.3
5,4,2,1048576,2048,21500.5
5,8,2,1048576,2048,19344.5
5,16,2,1048576,2048,19018.3
5,32,2,1048576,2048,11134.7
1,1,4,1048576,10240,156266
1,2,4,1048576,10240,166520
1,4,4,1048576,10240,113173
1,8,4,1048576,10240,133398
1,16,4,1048576,10240,196765
1,32,4,1048576,10240,183743
2,1,4,1048576,10240,161758
2,2,4,1048576,10240,135366
2,4,4,1048576,10240,122679
2,8,4,1048576,10240,84741
2,16,4,1048576,10240,85570
2,32,4,1048576,10240,91118.6
3,1,4,1048576,10240,95792.8
3,2,4,1048576,10240,82149.4
3,4,4,1048576,10240,90593.2
3,8,4,1048576,10240,80787.2
3,16,4,1048576,10240,96612.9
3,32,4,1048576,10240,89594.8
4,1,4,1048576,10240,89376
4,2,4,1048576,10240,123442
4,4,4,1048576,10240,94237.8
4,8,4,1048576,10240,86217.8
4,16,4,1048576,10240,89950.3
4,32,4,1048576,10240,64091.8
5,1,4,1048576,10240,102212
5,2,4,1048576,10240,93180.5
5,4,4,1048576,10240,73931.5
5,8,4,1048576,10240,96253.2
5,16,4,1048576,10240,95678.9
5,32,4,1048576,10240,89451.8
1,1,8,1048576,20480,233241
1,2,8,1048576,20480,241884
1,4,8,1048576,20480,344839
1,8,8,1048576,20480,272315
1,16,8,1048576,20480,375648
1,32,8,1048576,20480,326180
2,1,8,1048576,20480,304415
2,2,8,1048576,20480,226120
2,4,8,1048576,20480,251379
2,8,8,1048576,20480,224099
2,16,8,1048576,20480,203518
2,32,8,1048576,20480,235005
3,1,8,1048576,20480,321523
3,2,8,1048576,20480,271685
3,4,8,1048576,20480,254155
3,8,8,1048576,20480,236722
3,16,8,1048576,20480,453828
3,32,8,1048576,20480,324844
4,1,8,1048576,20480,278477
4,2,8,1048576,20480,251713
4,4,8,1048576,20480,228989
4,8,8,1048576,20480,303106
4,16,8,1048576,20480,279269
4,32,8,1048576,20480,317847
5,1,8,1048576,20480,267070
5,2,8,1048576,20480,246853
5,4,8,1048576,20480,231019
5,8,8,1048576,20480,310263
5,16,8,1048576,20480,247073
5,32,8,1048576,20480,206033
