n_threads,max_payload_size,records_number,avg_time(ms),std_time(ms)
1,5120,2097152,125.58025,82.25946299514726
2,5120,2097152,81.86624999999998,45.24326338344011
4,5120,2097152,159.6695,69.84691747194957
8,5120,2097152,59.3855,4.6511512911679525
16,5120,2097152,107.28925,32.02274960477317
32,5120,2097152,191.46875000000003,159.82925385417818
1,1048576,10240,161.26175,121.426499640386
2,1048576,10240,117.96549999999999,109.79575002855681
4,1048576,10240,105.897,61.562150888350224
8,1048576,10240,113.577,106.7460756374678
16,1048576,10240,85.738,40.720433470187906
32,1048576,10240,149.03175,97.60991323076087
