n_threads,max_payload_size,records_number,avg_time,n_threads_seq,sequential_time,speedup,efficiency
1,5120,2097152,125.58025,1,369.71525,2.944055693470908,2.944055693470908
2,5120,2097152,81.86624999999998,1,369.71525,4.51608874230834,2.25804437115417
4,5120,2097152,159.6695,1,369.71525,2.3155032739502537,0.5788758184875634
8,5120,2097152,59.3855,1,369.71525,6.225682195148647,0.7782102743935809
16,5120,2097152,107.28925,1,369.71525,3.445967326642698,0.2153729579151686
32,5120,2097152,191.46875000000003,1,369.71525,1.9309430390076707,0.06034196996898971
1,1048576,10240,161.26175,1,401.28375,2.488400070072413,2.488400070072413
2,1048576,10240,117.96549999999999,1,401.28375,3.40170431185389,1.700852155926945
4,1048576,10240,105.897,1,401.28375,3.789377886059095,0.9473444715147737
8,1048576,10240,113.577,1,401.28375,3.533142713753665,0.4416428392192081
16,1048576,10240,85.738,1,401.28375,4.68034885348387,0.29252180334274186
32,1048576,10240,149.03175,1,401.28375,2.6926057702469444,0.08414393032021701
