num_threads,max_payload_size,records_number,num_nodes,avg_time(ms),std_time(ms)
1,1024,2097152,2,14.664275,3.508856016210981
1,5120,2097152,4,118.82395,15.538545805297655
1,10240,2097152,8,253.44824999999997,52.52209503548642
1,1048576,2048,2,17.33825,3.525645043109132
1,1048576,10240,4,110.9117,30.68693978595237
1,1048576,20480,8,270.80075,29.515509667235406
2,1024,2097152,2,16.89875,4.137649727804422
2,5120,2097152,4,108.263525,15.333196393310601
2,10240,2097152,8,244.00375000000003,24.723473951894388
2,1048576,2048,2,18.69275,1.9405330891278307
2,1048576,10240,4,108.534475,24.993877693730656
2,1048576,20480,8,241.64249999999998,11.099108207419187
4,1024,2097152,2,18.06915,4.716113445412442
4,5120,2097152,4,122.55555000000001,36.58845379273813
4,10240,2097152,8,222.55900000000003,37.070171270173546
4,1048576,2048,2,18.7458,2.74976486873575
4,1048576,10240,4,92.98387500000001,16.10260244254015
4,1048576,20480,8,241.3855,13.217005548408705
8,1024,2097152,2,18.233975,3.1105257555328705
8,5120,2097152,4,148.995,23.305942890172883
8,10240,2097152,8,207.4785,21.51372059097791
8,1048576,2048,2,17.311325,2.1027010032733298
8,1048576,10240,4,86.9998,6.581172939023355
8,1048576,20480,8,259.0605,35.76312302265188
16,1024,2097152,2,17.3648,4.156437459331409
16,5120,2097152,4,122.13295,28.126757713548614
16,10240,2097152,8,269.36650000000003,28.503961344580386
16,1048576,2048,2,17.459899999999998,1.447788140578586
16,1048576,10240,4,91.953025,5.175277612763076
16,1048576,20480,8,276.377,73.09868535525567
32,1024,2097152,2,18.231949999999998,3.519892529135891
32,5120,2097152,4,131.5902,44.95422381222926
32,10240,2097152,8,228.96675000000002,40.80333485043432
32,1048576,2048,2,13.86345,3.6419253191135033
32,1048576,10240,4,83.56425,13.003528895777995
32,1048576,20480,8,270.93224999999995,59.470302108839725
