n_threads,max_payload_size,records_number,avg_time(ms),std_time(ms)
1,5120,2097152,116.041,92.74109217960864
2,5120,2097152,64.6045,3.5064714933011136
4,5120,2097152,76.642,18.26568321561866
8,5120,2097152,69.8495,9.501661240716452
16,5120,2097152,68.50875,12.01602081597731
32,5120,2097152,63.265,1.6426082917116889
1,1048576,10240,66.53450000000001,0.8150736163071427
2,1048576,10240,61.767500000000005,1.0980560095004266
4,1048576,10240,69.10925,20.60495567211927
8,1048576,10240,62.76049999999999,2.253658581063242
16,1048576,10240,59.22275,0.7990533461540575
32,1048576,10240,61.73725,0.5605273558593405
