
iteration,max_payload_size,records_number,time(ms),n_threads
1,5120,2097152,671889,1
1,5120,2097152,461125,2
1,5120,2097152,171202,4
1,5120,2097152,59730,8
1,5120,2097152,100835,16
1,5120,2097152,469057,32
1,1048576,10240,433488,1
1,1048576,10240,650512,2
1,1048576,10240,355699,4
1,1048576,10240,674800,8
1,1048576,10240,146396,16
1,1048576,10240,385804,32
2,5120,2097152,130799,1
2,5120,2097152,149450,2
2,5120,2097152,263005,4
2,5120,2097152,65829,8
2,5120,2097152,122813,16
2,5120,2097152,374670,32
2,1048576,10240,299210,1
2,1048576,10240,282555,2
2,1048576,10240,186804,4
2,1048576,10240,273381,8
2,1048576,10240,66244,16
2,1048576,10240,65876,32
3,5120,2097152,64624,1
3,5120,2097152,54241,2
3,5120,2097152,59430,4
3,5120,2097152,55657,8
3,5120,2097152,139853,16
3,5120,2097152,276096,32
3,1048576,10240,227358,1
3,1048576,10240,65597,2
3,1048576,10240,120890,4
3,1048576,10240,66815,8
3,1048576,10240,70979,16
3,1048576,10240,235287,32
4,5120,2097152,66836,1
4,5120,2097152,64316,2
4,5120,2097152,187893,4
4,5120,2097152,56326,8
4,5120,2097152,229541,16
4,5120,2097152,52777,32
4,1048576,10240,62212,1
4,1048576,10240,57590,2
4,1048576,10240,58475,4
4,1048576,10240,51101,8
4,1048576,10240,227523,16
4,1048576,10240,231813,32
5,5120,2097152,240062,1
5,5120,2097152,59458,2
5,5120,2097152,220153,4
5,5120,2097152,219826,8
5,5120,2097152,65656,16
5,5120,2097152,62332,32
5,1048576,10240,56267,1
5,1048576,10240,66120,2
5,1048576,10240,57419,4
5,1048576,10240,63011,8
5,1048576,10240,59333,16
5,1048576,10240,63151,32
