
iteration,num_threads,num_nodes,max_payload_size,records_number,time(ms)
1,1,2,5120,2097152,100576
1,2,2,5120,2097152,549046
1,4,2,5120,2097152,239744
1,8,2,5120,2097152,678622
1,16,2,5120,2097152,1.03667e+06
1,32,2,5120,2097152,136730
1,1,4,5120,2097152,157732
1,2,4,5120,2097152,168838
1,4,4,5120,2097152,223129
1,8,4,5120,2097152,222010
1,16,4,5120,2097152,251543
1,32,4,5120,2097152,186293
1,1,8,5120,2097152,72989.1
1,2,8,5120,2097152,80086.1
1,4,8,5120,2097152,78056.3
1,8,8,5120,2097152,80298.6
1,16,8,5120,2097152,81355.5
1,32,8,5120,2097152,85266.7
1,1,2,1048576,10240,207435
1,2,2,1048576,10240,104574
1,4,2,1048576,10240,93452.8
1,8,2,1048576,10240,56552
1,16,2,1048576,10240,403464
1,32,2,1048576,10240,409410
1,1,4,1048576,10240,316986
1,2,4,1048576,10240,73651.7
1,4,4,1048576,10240,57391.2
1,8,4,1048576,10240,121209
1,16,4,1048576,10240,61180.6
1,32,4,1048576,10240,81576.8
1,1,8,1048576,10240,86813.3
1,2,8,1048576,10240,63000.7
1,4,8,1048576,10240,67560.6
1,8,8,1048576,10240,69924.2
1,16,8,1048576,10240,79195.6
1,32,8,1048576,10240,80375.5
2,1,2,5120,2097152,479452
2,2,2,5120,2097152,463287
2,4,2,5120,2097152,503682
2,8,2,5120,2097152,241632
2,16,2,5120,2097152,131480
2,32,2,5120,2097152,469301
2,1,4,5120,2097152,161182
2,2,4,5120,2097152,239051
2,4,4,5120,2097152,247961
2,8,4,5120,2097152,218901
2,16,4,5120,2097152,282828
2,32,4,5120,2097152,219170
2,1,8,5120,2097152,70173
2,2,8,5120,2097152,83498.5
2,4,8,5120,2097152,85457.6
2,8,8,5120,2097152,99919.7
2,16,8,5120,2097152,77613
2,32,8,5120,2097152,107267
2,1,2,1048576,10240,399049
2,2,2,1048576,10240,388371
2,4,2,1048576,10240,308340
2,8,2,1048576,10240,451731
2,16,2,1048576,10240,142024
2,32,2,1048576,10240,421852
2,1,4,1048576,10240,178323
2,2,4,1048576,10240,197311
2,4,4,1048576,10240,183208
2,8,4,1048576,10240,212286
2,16,4,1048576,10240,155719
2,32,4,1048576,10240,360759
2,1,8,1048576,10240,73939.9
2,2,8,1048576,10240,67088.3
2,4,8,1048576,10240,83696.8
2,8,8,1048576,10240,80492.5
2,16,8,1048576,10240,78678.3
2,32,8,1048576,10240,95227.1
3,1,2,5120,2097152,376844
3,2,2,5120,2097152,387621
3,4,2,5120,2097152,400166
3,8,2,5120,2097152,380324
3,16,2,5120,2097152,91934
3,32,2,5120,2097152,422865
3,1,4,5120,2097152,226829
3,2,4,5120,2097152,215121
3,4,4,5120,2097152,284286
3,8,4,5120,2097152,237841
3,16,4,5120,2097152,209008
3,32,4,5120,2097152,314859
3,1,8,5120,2097152,84005.7
3,2,8,5120,2097152,75335.6
3,4,8,5120,2097152,86123.1
3,8,8,5120,2097152,58331.4
3,16,8,5120,2097152,54955.7
3,32,8,5120,2097152,74602.9
3,1,2,1048576,10240,382050
3,2,2,1048576,10240,446238
3,4,2,1048576,10240,451528
3,8,2,1048576,10240,54454.3
3,16,2,1048576,10240,368361
3,32,2,1048576,10240,61856
3,1,4,1048576,10240,75106.3
3,2,4,1048576,10240,71732.4
3,4,4,1048576,10240,144385
3,8,4,1048576,10240,90712.9
3,16,4,1048576,10240,89066.3
3,32,4,1048576,10240,101475
3,1,8,1048576,10240,78466.6
3,2,8,1048576,10240,94219.1
3,4,8,1048576,10240,107211
3,8,8,1048576,10240,96500.2
3,16,8,1048576,10240,98884.9
3,32,8,1048576,10240,98846
4,1,2,5120,2097152,213193
4,2,2,5120,2097152,213050
4,4,2,5120,2097152,215499
4,8,2,5120,2097152,205454
4,16,2,5120,2097152,214241
4,32,2,5120,2097152,205056
4,1,4,5120,2097152,105872
4,2,4,5120,2097152,129853
4,4,4,5120,2097152,133024
4,8,4,5120,2097152,161296
4,16,4,5120,2097152,63600.9
4,32,4,5120,2097152,96982
4,1,8,5120,2097152,81957.2
4,2,8,5120,2097152,90384.8
4,4,8,5120,2097152,84541.7
4,8,8,5120,2097152,86973.1
4,16,8,5120,2097152,125982
4,32,8,5120,2097152,81151.8
4,1,2,1048576,10240,202716
4,2,2,1048576,10240,211467
4,4,2,1048576,10240,209108
4,8,2,1048576,10240,77146.5
4,16,2,1048576,10240,106830
4,32,2,1048576,10240,94213.5
4,1,4,1048576,10240,93169.3
4,2,4,1048576,10240,91135.4
4,4,4,1048576,10240,95926.2
4,8,4,1048576,10240,170782
4,16,4,1048576,10240,90973.4
4,32,4,1048576,10240,76799.6
4,1,8,1048576,10240,97339.8
4,2,8,1048576,10240,84076.1
4,4,8,1048576,10240,71590.3
4,8,8,1048576,10240,85423.8
4,16,8,1048576,10240,77593.4
4,32,8,1048576,10240,83607.9
5,1,2,5120,2097152,225238
5,2,2,5120,2097152,241547
5,4,2,5120,2097152,233991
5,8,2,5120,2097152,212991
5,16,2,5120,2097152,214748
5,32,2,5120,2097152,217149
5,1,4,5120,2097152,137046
5,2,4,5120,2097152,87453.7
5,4,4,5120,2097152,123317
5,8,4,5120,2097152,136659
5,16,4,5120,2097152,111041
5,32,4,5120,2097152,91597.4
5,1,8,5120,2097152,78460.5
5,2,8,5120,2097152,89405.5
5,4,8,5120,2097152,99483.8
5,8,8,5120,2097152,95396.2
5,16,8,5120,2097152,99202.5
5,32,8,5120,2097152,84023.8
5,1,2,1048576,10240,84520.8
5,2,2,1048576,10240,120130
5,4,2,1048576,10240,483060
5,8,2,1048576,10240,616234
5,16,2,1048576,10240,524929
5,32,2,1048576,10240,535289
5,1,4,1048576,10240,132910
5,2,4,1048576,10240,91139.1
5,4,4,1048576,10240,103143
5,8,4,1048576,10240,90667
5,16,4,1048576,10240,113909
5,32,4,1048576,10240,112647
5,1,8,1048576,10240,81643.3
5,2,8,1048576,10240,88942.4
5,4,8,1048576,10240,93402.9
5,8,8,1048576,10240,76072.6
5,16,8,1048576,10240,76663.8
5,32,8,1048576,10240,88145.5
