
iteration,max_payload_size,records_number,time(ms),n_threads
1,5120,2097152,292463,1
1,5120,2097152,69846,2
1,5120,2097152,92226,4
1,5120,2097152,84092,8
1,5120,2097152,60625,16
1,5120,2097152,63305,32
1,1048576,10240,67073,1
1,1048576,10240,61415,2
1,1048576,10240,59244,4
1,1048576,10240,62969,8
1,1048576,10240,69018,16
1,1048576,10240,64662,32
2,5120,2097152,72189,1
2,5120,2097152,63266,2
2,5120,2097152,61508,4
2,5120,2097152,62676,8
2,5120,2097152,61245,16
2,5120,2097152,61934,32
2,1048576,10240,66751,1
2,1048576,10240,83674,2
2,1048576,10240,108039,4
2,1048576,10240,61173,8
2,1048576,10240,60102,16
2,1048576,10240,61871,32
3,5120,2097152,68251,1
3,5120,2097152,62606,2
3,5120,2097152,60155,4
3,5120,2097152,62616,8
3,5120,2097152,86170,16
3,5120,2097152,62254,32
3,1048576,10240,66985,1
3,1048576,10240,60962,2
3,1048576,10240,58686,4
3,1048576,10240,92725,8
3,1048576,10240,59696,16
3,1048576,10240,62428,32
4,5120,2097152,68597,1
4,5120,2097152,62700,2
4,5120,2097152,92679,4
4,5120,2097152,71428,8
4,5120,2097152,65995,16
4,5120,2097152,71853,32
4,1048576,10240,65329,1
4,1048576,10240,61304,2
4,1048576,10240,58494,4
4,1048576,10240,65871,8
4,1048576,10240,58503,16
4,1048576,10240,61093,32
5,5120,2097152,255127,1
5,5120,2097152,73261,2
5,5120,2097152,102162,4
5,5120,2097152,82678,8
5,5120,2097152,213856,16
5,5120,2097152,65567,32
5,1048576,10240,67123,1
5,1048576,10240,63389,2
5,1048576,10240,100013,4
5,1048576,10240,61029,8
5,1048576,10240,58590,16
5,1048576,10240,61557,32
