num_threads,max_payload_size,records_number,num_nodes,avg_time(ms),std_time(ms)
1,5120,2097152,2,228.96274999999997,113.45275147941543
1,5120,2097152,4,134.7,27.729529602934118
1,5120,2097152,8,75.89495,5.307780386376208
1,1048576,10240,2,219.18045,122.56800202993439
1,1048576,10240,4,119.87715,45.83852390980756
1,1048576,10240,8,80.215775,5.4163759085296155
2,5120,2097152,2,326.37624999999997,119.07184590650861
2,5120,2097152,4,150.316425,54.50735619641169
2,5120,2097152,8,82.08142500000001,5.919956445433813
2,1048576,10240,2,206.1355,130.31997373771986
2,1048576,10240,4,81.91465,10.678128208788904
2,1048576,10240,8,75.77687499999999,12.661360738976677
4,5120,2097152,2,272.35,85.83614268671055
4,5120,2097152,4,181.85775,62.941004882217555
4,5120,2097152,8,83.544675,3.7159061939855236
4,1048576,10240,2,265.6072,151.90121034022957
4,1048576,10240,4,100.21135000000001,35.645634059867696
4,1048576,10240,8,79.06265,11.765079472886411
8,5120,2097152,2,260.10025,81.65031209728065
8,5120,2097152,4,184.7165,42.49481658194719
8,5120,2097152,8,80.24982499999999,15.864371358986567
8,1048576,10240,2,159.97095000000002,194.77599008444716
8,1048576,10240,4,118.342725,37.80408301893461
8,1048576,10240,8,77.978275,6.589306771517522
16,5120,2097152,2,163.10075,61.501603607141824
16,5120,2097152,4,158.798225,86.53688620506962
16,5120,2097152,8,78.281675,18.181286668508918
16,1048576,10240,2,255.16975000000002,152.3264978401657
16,1048576,10240,4,88.782325,21.58770074979038
16,1048576,10240,8,78.03277499999999,1.1307825384072148
32,5120,2097152,2,245.45000000000002,123.46219726701774
32,5120,2097152,4,148.51059999999998,64.0691540715187
32,5120,2097152,8,81.2613,4.7616844435556684
32,1048576,10240,2,246.83287499999997,195.42443859386975
32,1048576,10240,4,93.1246,16.83954266758255
32,1048576,10240,8,86.839,6.436458739607261
