num_threads,max_payload_size,records_number,num_nodes,avg_time(ms),std_time(ms)
1,1048576,2048,2,17.33825,3.525645043109132
1,1048576,10240,4,110.9117,30.68693978595237
1,1048576,20480,8,270.80075,29.515509667235406
2,1048576,2048,2,18.69275,1.9405330891278307
2,1048576,10240,4,108.534475,24.993877693730656
2,1048576,20480,8,241.64249999999998,11.099108207419187
4,1048576,2048,2,18.7458,2.74976486873575
4,1048576,10240,4,92.98387500000001,16.10260244254015
4,1048576,20480,8,241.3855,13.217005548408705
8,1048576,2048,2,17.311325,2.1027010032733298
8,1048576,10240,4,86.9998,6.581172939023355
8,1048576,20480,8,259.0605,35.76312302265188
16,1048576,2048,2,17.459899999999998,1.447788140578586
16,1048576,10240,4,91.953025,5.175277612763076
16,1048576,20480,8,276.377,73.09868535525567
32,1048576,2048,2,13.86345,3.6419253191135033
32,1048576,10240,4,83.56425,13.003528895777995
32,1048576,20480,8,270.93224999999995,59.470302108839725
