num_threads,max_payload_size,records_number,num_nodes,avg_time(ms),std_time(ms)
1,1024,2097152,2,14.664275,3.508856016210981
1,5120,2097152,4,118.82395,15.538545805297655
1,10240,2097152,8,253.44824999999997,52.52209503548642
2,1024,2097152,2,16.89875,4.137649727804422
2,5120,2097152,4,108.263525,15.333196393310601
2,10240,2097152,8,244.00375000000003,24.723473951894388
4,1024,2097152,2,18.06915,4.716113445412442
4,5120,2097152,4,122.55555000000001,36.58845379273813
4,10240,2097152,8,222.55900000000003,37.070171270173546
8,1024,2097152,2,18.233975,3.1105257555328705
8,5120,2097152,4,148.995,23.305942890172883
8,10240,2097152,8,207.4785,21.51372059097791
16,1024,2097152,2,17.3648,4.156437459331409
16,5120,2097152,4,122.13295,28.126757713548614
16,10240,2097152,8,269.36650000000003,28.503961344580386
32,1024,2097152,2,18.231949999999998,3.519892529135891
32,5120,2097152,4,131.5902,44.95422381222926
32,10240,2097152,8,228.96675000000002,40.80333485043432
